model layer layer_index rf_size xn num_units
alexnet conv1 0 11 15 64
alexnet conv2 3 51 63 192
alexnet conv3 6 99 127 384
alexnet conv4 8 131 159 256
alexnet conv5 10 163 191 256
vgg16 conv1 0 3 5 64
vgg16 conv2 2 5 7 64
vgg16 conv3 5 10 14 128
vgg16 conv4 7 14 18 128
vgg16 conv5 10 24 28 256
vgg16 conv6 12 32 36 256
vgg16 conv7 14 40 52 256
vgg16 conv8 17 60 72 512
vgg16 conv9 19 76 88 512
vgg16 conv10 21 92 104 512
vgg16 conv11 24 132 176 512
vgg16 conv12 26 164 208 512
vgg16 conv13 28 196 240 512
resnet18 conv1 0 7 9 64
resnet18 conv2 4 19 25 64
resnet18 conv3 7 27 33 64
resnet18 conv4 10 35 41 64
resnet18 conv5 13 43 49 64
resnet18 conv6 16 51 65 128
resnet18 conv7 19 67 81 128
resnet18 conv8 21 43 49 128
resnet18 conv9 24 83 97 128
resnet18 conv10 27 99 113 128
resnet18 conv11 30 115 129 256
resnet18 conv12 33 147 193 256
resnet18 conv13 35 99 129 256
resnet18 conv14 38 179 225 256
resnet18 conv15 41 211 257 256
resnet18 conv16 44 243 321 512
resnet18 conv17 47 307 385 512
resnet18 conv18 49 211 257 512
resnet18 conv19 52 371 449 512
resnet18 conv20 55 435 513 512
